Estadística del Padrón Continuo
30.- Murcia, Región de
Población por sexo, municipios y país de nacimiento
Unidades:   Personas

,Total,España,Extranjero,Europa (sin España),UE28 sin España,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Europa menos UE28,Rusia,Ucrania,África,Argelia,Marruecos,Nigeria,Senegal,América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Asia,China,Pakistán,Oceanía ,
    Total,
        30 Murcia,
            1 de enero de 2015,984,867,117,105,105,4,0,52,1,0,3,37,3,0,0,0,1,0,1,0,0,11,0,1,1,5,0,0,2,0,1,1,0,0,0,0,0,0,
            1 de enero de 2014,986,858,128,116,116,4,1,56,2,0,3,40,3,0,0,0,0,0,0,0,0,12,0,1,1,6,0,0,2,0,1,1,0,0,0,0,0,0,
            1 de enero de 2013,1.004,863,141,127,127,6,1,55,3,0,3,49,3,0,0,0,0,0,0,0,0,14,0,0,1,9,0,0,2,0,1,1,0,0,0,0,0,0,
        30007 Alguazas,
            1 de enero de 2020,9.761,8.038,1.723,304,242,44,9,71,11,2,20,8,62,62,11,28,903,32,792,25,29,494,16,46,28,101,8,4,224,9,4,8,0,5,22,15,7,0,
            1 de enero de 2019,9.638,8.006,1.632,300,241,43,8,70,11,3,19,7,69,59,11,27,834,39,719,28,21,485,17,43,27,96,7,3,235,9,3,3,1,5,13,12,1,0,
            1 de enero de 2018,9.525,7.996,1.529,303,245,44,10,68,8,3,19,4,79,58,11,27,770,45,656,30,18,444,12,42,26,85,7,5,226,10,3,3,0,5,12,10,1,0,
            1 de enero de 2017,9.557,8.030,1.527,298,241,42,10,69,8,2,18,2,82,57,10,33,760,43,660,31,11,457,12,45,25,87,6,6,249,9,3,3,0,3,12,11,0,0,
            1 de enero de 2016,9.613,8.037,1.576,303,246,41,12,66,9,4,21,0,82,57,13,30,781,38,685,30,13,481,16,46,20,82,5,5,276,9,4,4,0,5,11,10,0,0,
            1 de enero de 2015,9.544,7.968,1.576,313,263,39,14,68,12,7,28,3,82,50,10,26,756,34,662,32,13,497,16,46,18,83,7,5,291,10,3,3,1,5,10,10,0,0,
            1 de enero de 2014,9.593,7.956,1.637,326,274,39,14,67,13,12,30,4,86,52,12,23,759,33,659,36,15,542,18,47,21,90,12,5,314,11,4,3,1,4,10,10,0,0,
            1 de enero de 2013,9.544,7.857,1.687,360,310,43,20,70,15,19,38,6,90,50,12,25,764,41,653,38,12,551,21,51,18,89,12,5,322,11,5,2,1,4,12,11,0,0,
        30008 Alhama de Murcia,
            1 de enero de 2020,22.160,17.525,4.635,1.316,1.251,43,44,314,10,74,54,367,249,65,13,33,1.925,50,1.765,7,75,1.332,72,356,22,140,91,6,443,24,18,20,7,48,61,30,11,1,
            1 de enero de 2019,22.077,17.547,4.530,1.292,1.235,51,45,311,12,71,61,334,259,57,13,24,1.882,50,1.729,8,69,1.294,70,351,20,138,76,8,457,19,15,18,8,39,61,28,12,1,
            1 de enero de 2018,21.657,17.453,4.204,1.250,1.198,50,50,314,11,74,55,298,278,52,13,20,1.724,30,1.615,6,52,1.170,65,322,13,118,71,7,421,21,13,22,8,31,59,30,13,1,
            1 de enero de 2017,21.448,17.376,4.072,1.227,1.176,47,40,312,9,86,44,273,296,51,15,21,1.654,32,1.553,8,42,1.126,67,294,13,107,66,8,430,23,14,22,7,29,64,28,17,1,
            1 de enero de 2016,21.308,17.314,3.994,1.209,1.154,45,37,304,10,102,48,259,279,55,18,22,1.638,35,1.538,8,37,1.082,64,296,13,104,64,7,427,21,10,16,6,23,63,29,21,2,
            1 de enero de 2015,21.351,17.149,4.202,1.388,1.326,50,36,305,9,160,66,304,298,62,20,25,1.662,36,1.561,6,42,1.087,68,280,16,98,67,9,456,23,8,13,4,18,63,27,24,2,
            1 de enero de 2014,21.298,16.967,4.331,1.480,1.417,57,42,314,9,201,71,324,286,63,22,22,1.709,37,1.600,5,50,1.080,60,271,15,100,63,8,468,22,8,19,4,14,61,25,26,1,
            1 de enero de 2013,21.182,16.773,4.409,1.542,1.486,59,41,319,15,244,72,342,280,56,16,23,1.693,41,1.577,5,57,1.111,71,317,11,100,59,8,446,23,8,17,5,18,62,21,28,1,
        30009 Archena,
            1 de enero de 2020,19.428,15.310,4.118,455,378,36,56,92,12,8,20,12,127,77,10,47,1.763,23,939,7,68,1.858,50,211,22,110,9,13,611,648,24,5,5,52,41,25,3,1,
            1 de enero de 2019,19.301,15.312,3.989,547,458,39,77,99,13,6,32,11,166,89,13,53,1.645,23,840,7,57,1.758,42,217,23,101,9,11,619,595,18,6,7,36,39,24,3,0,
            1 de enero de 2018,19.053,15.312,3.741,597,507,37,93,100,11,3,32,10,203,90,14,55,1.481,24,752,7,42,1.631,43,205,28,80,8,11,632,514,17,5,5,27,32,24,0,0,
            1 de enero de 2017,18.771,15.244,3.527,597,520,37,106,98,12,6,40,11,189,77,14,46,1.353,24,687,7,31,1.541,44,203,25,59,12,7,646,463,18,8,3,22,36,24,3,0,
            1 de enero de 2016,18.734,15.263,3.471,591,508,42,105,102,14,6,46,9,161,83,16,51,1.299,27,648,9,24,1.550,49,201,25,50,13,7,679,450,14,8,4,19,31,22,2,0,
            1 de enero de 2015,18.559,15.190,3.369,576,491,44,116,98,13,4,45,4,140,85,15,54,1.170,24,577,9,20,1.585,50,204,23,47,13,7,726,447,13,11,4,8,38,25,3,0,
            1 de enero de 2014,18.570,15.107,3.463,592,507,44,131,95,14,4,53,2,136,85,18,52,1.159,25,556,10,19,1.668,54,203,24,50,14,8,751,500,12,12,4,7,44,29,3,0,
            1 de enero de 2013,18.369,14.736,3.633,624,533,44,122,96,14,6,59,2,164,91,19,57,1.207,30,585,9,30,1.764,57,222,28,46,14,8,766,547,11,16,3,8,38,29,0,0,
        30010 Beniel,
            1 de enero de 2020,11.465,8.798,2.667,706,432,31,179,104,9,6,8,1,76,274,43,203,1.631,135,1.394,0,0,314,7,12,10,73,3,0,170,8,13,2,0,4,16,11,5,0,
            1 de enero de 2019,11.318,8.840,2.478,709,432,33,178,102,7,7,9,0,80,277,44,203,1.456,135,1.215,0,1,299,8,8,11,61,2,0,173,7,13,2,0,2,14,12,2,0,
            1 de enero de 2018,11.274,8.935,2.339,709,442,34,181,104,7,6,10,0,85,267,38,198,1.313,120,1.089,0,1,301,9,9,10,61,2,0,176,7,14,2,0,1,16,12,4,0,
            1 de enero de 2017,11.233,8.912,2.321,735,467,34,200,102,7,5,10,0,92,268,36,201,1.259,126,1.035,0,1,306,8,6,12,65,3,0,183,5,15,2,0,2,21,13,8,0,
            1 de enero de 2016,11.114,8.846,2.268,746,473,37,203,103,7,11,10,0,84,273,41,201,1.182,135,948,0,2,322,6,9,9,69,3,0,195,5,15,5,0,2,18,11,7,0,
            1 de enero de 2015,11.096,8.806,2.290,809,534,39,236,106,8,12,6,0,100,275,42,198,1.134,137,897,0,4,330,5,12,7,80,3,0,195,5,16,4,0,1,17,13,4,0,
            1 de enero de 2014,11.112,8.791,2.321,840,565,42,245,109,6,17,7,0,110,275,42,198,1.103,146,836,0,4,358,5,15,7,82,4,1,217,2,16,5,0,2,20,15,5,0,
            1 de enero de 2013,11.160,8.769,2.391,911,619,45,281,107,6,19,11,0,114,292,49,208,1.075,144,808,0,7,390,5,12,8,78,5,1,253,2,16,5,0,2,15,12,3,0,
        30011 Blanca,
            1 de enero de 2020,6.569,5.668,901,168,148,7,5,40,2,3,1,53,33,20,1,11,605,11,586,0,0,114,0,9,0,10,11,0,57,5,0,0,1,0,14,7,2,0,
            1 de enero de 2019,6.539,5.672,867,173,158,8,4,42,2,2,4,59,34,15,1,6,574,9,560,0,0,108,0,8,0,12,10,0,57,6,0,0,0,0,12,8,2,0,
            1 de enero de 2018,6.564,5.692,872,177,166,9,7,40,2,2,5,56,40,11,1,5,571,9,558,0,0,111,0,9,0,12,9,0,67,3,0,0,0,0,13,9,2,0,
            1 de enero de 2017,6.521,5.691,830,169,156,10,6,40,2,1,5,53,33,13,1,7,538,9,525,0,1,107,0,9,0,12,8,0,67,3,0,0,0,0,16,12,2,0,
            1 de enero de 2016,6.521,5.698,823,184,170,10,5,39,2,1,5,66,37,14,2,7,517,8,505,0,1,105,0,9,0,13,8,0,67,1,0,0,0,1,17,13,2,0,
            1 de enero de 2015,6.521,5.714,807,197,185,10,9,40,2,0,7,83,33,12,1,6,495,7,484,0,1,102,0,8,1,12,6,0,66,1,0,0,0,1,13,9,2,0,
            1 de enero de 2014,6.477,5.685,792,193,181,10,9,39,3,0,7,83,28,12,1,6,483,8,473,0,0,105,1,12,1,12,6,0,62,0,0,0,0,1,11,7,2,0,
            1 de enero de 2013,6.460,5.673,787,181,171,10,11,37,3,0,6,78,24,10,1,5,488,8,480,0,0,107,2,8,2,13,6,0,64,0,0,0,0,2,11,7,2,0,
        30012 Bullas,
            1 de enero de 2020,11.553,10.661,892,329,312,17,115,58,4,3,7,77,9,17,3,8,83,9,67,1,4,462,33,97,10,60,5,0,185,4,6,4,9,10,18,12,6,0,
            1 de enero de 2019,11.530,10.692,838,305,285,17,96,58,5,3,3,74,10,20,3,10,71,7,56,1,4,442,36,96,7,40,4,1,197,1,10,2,8,11,20,12,8,0,
            1 de enero de 2018,11.547,10.768,779,279,262,14,79,54,5,3,4,70,11,17,2,10,62,7,48,1,3,416,32,91,6,34,4,0,203,1,4,5,8,7,22,14,8,0,
            1 de enero de 2017,11.546,10.814,732,249,234,15,70,51,2,3,7,57,14,15,0,9,56,5,45,1,2,405,33,89,7,33,5,0,202,0,2,2,6,3,22,13,9,0,
            1 de enero de 2016,11.714,10.835,879,369,357,12,170,52,2,2,15,61,18,12,0,6,62,7,50,1,2,424,27,89,11,35,6,0,220,0,1,1,6,6,24,13,11,0,
            1 de enero de 2015,11.753,10.882,871,359,346,13,176,55,1,2,16,49,17,13,0,6,59,9,47,1,1,430,25,101,15,41,2,0,213,0,1,0,6,6,23,13,10,0,
            1 de enero de 2014,12.061,10.977,1.084,517,503,13,319,58,1,2,22,47,26,14,0,7,72,10,57,1,3,477,28,111,16,50,2,0,237,1,2,1,6,5,18,11,7,0,
            1 de enero de 2013,12.288,11.045,1.243,635,622,13,396,60,1,2,26,61,48,13,0,6,79,10,63,1,4,510,27,111,16,50,3,0,273,1,2,1,6,6,18,11,7,1,
        30013 Calasparra,
            1 de enero de 2020,10.133,8.679,1.454,597,548,10,40,24,3,1,46,295,97,49,2,27,362,9,348,1,1,462,12,70,14,23,6,5,282,8,2,7,0,9,33,15,9,0,
            1 de enero de 2019,10.178,8.783,1.395,592,542,9,40,21,3,2,45,288,102,50,3,25,331,16,307,1,1,449,16,66,12,21,7,4,286,7,2,5,0,12,23,9,5,0,
            1 de enero de 2018,10.165,8.813,1.352,589,541,8,28,22,3,2,52,290,106,48,4,27,318,18,292,1,1,427,19,60,8,15,8,4,283,7,2,4,0,10,18,10,1,0,
            1 de enero de 2017,10.214,8.842,1.372,631,579,11,32,22,5,1,61,300,112,52,4,30,297,16,272,1,1,426,14,64,12,14,1,4,291,7,4,3,0,5,18,10,5,0,
            1 de enero de 2016,10.268,8.817,1.451,678,623,10,30,21,4,2,66,328,119,55,4,35,276,12,255,1,1,470,15,66,13,12,1,3,328,7,5,5,3,5,27,12,11,0,
            1 de enero de 2015,10.423,8.900,1.523,770,714,10,31,22,2,3,86,366,141,56,4,36,229,8,213,1,1,492,17,69,15,13,3,2,343,6,4,5,3,6,32,15,11,0,
            1 de enero de 2014,10.527,8.940,1.587,823,768,10,22,23,1,4,108,398,149,55,4,34,223,3,209,1,1,516,17,71,17,13,1,2,364,5,5,2,5,6,25,11,7,0,
            1 de enero de 2013,10.558,8.987,1.571,798,746,10,22,24,1,2,97,397,140,52,4,30,231,7,213,2,0,526,17,67,17,16,1,2,375,5,5,3,5,6,16,10,0,0,
        30014 Campos del Río,
            1 de enero de 2020,2.032,1.879,153,91,90,8,0,30,0,0,3,32,8,1,0,0,33,6,27,0,0,25,0,4,2,1,2,1,6,1,0,1,1,1,4,3,0,0,
            1 de enero de 2019,2.028,1.864,164,106,105,8,0,34,0,0,4,38,12,1,0,0,27,6,20,0,1,27,1,3,2,2,2,1,4,1,0,1,1,2,4,3,0,0,
            1 de enero de 2018,2.045,1.886,159,112,110,7,0,37,0,0,4,37,14,2,0,1,25,4,21,0,0,18,3,1,2,1,0,1,4,1,0,0,1,1,4,3,0,0,
            1 de enero de 2017,2.022,1.863,159,113,111,8,0,37,0,0,3,39,15,2,0,1,27,4,23,0,0,15,2,2,2,2,0,1,2,2,0,0,0,1,4,3,0,0,
            1 de enero de 2016,2.003,1.857,146,102,99,8,0,29,0,0,1,38,11,3,0,2,28,5,23,0,0,15,1,2,2,2,0,0,4,2,0,0,0,1,1,0,0,0,
            1 de enero de 2015,2.083,1.888,195,143,140,8,0,34,0,0,3,59,23,3,1,0,30,5,23,0,2,21,1,4,2,4,0,0,7,2,0,0,0,1,1,0,0,0,
            1 de enero de 2014,2.100,1.890,210,148,144,8,0,32,0,0,5,61,27,4,1,1,33,5,28,0,0,24,1,5,4,4,0,0,6,2,0,0,0,1,5,4,0,0,
